NAMESPACE      NAME                                                        READY   STATUS    RESTARTS        AGE
argocd         argocd-application-controller-0                             1/1     Running   0               84m
argocd         argocd-applicationset-controller-54d5cc77b5-jwnrv           1/1     Running   0               84m
argocd         argocd-redis-6684886f5f-9hbwc                               1/1     Running   0               149m
argocd         argocd-repo-server-64d94fb779-fr5l6                         1/1     Running   0               84m
argocd         argocd-server-7f9db5cf54-x6t9h                              1/1     Running   0               84m
cert-manager   cert-manager-6dcb8b5887-69z7m                               1/1     Running   0               4h27m
cert-manager   cert-manager-cainjector-df47ccc8b-t2gnr                     1/1     Running   0               4h27m
cert-manager   cert-manager-webhook-7f8cd8f64f-gqrqk                       1/1     Running   0               4h27m
cloudflared    cloudflared-7bd9bfdbc-bg2dx                                 1/1     Running   0               82m
cloudflared    cloudflared-7bd9bfdbc-smj4x                                 1/1     Running   0               109m
cnpg-system    cnpg-cloudnative-pg-65cb78c697-vt5wd                        1/1     Running   0               128m
cnpg-system    plugin-barman-cloud-ff8dc5fc7-jz5k4                         1/1     Running   0               128m
kube-system    cilium-bbrjn                                                1/1     Running   0               151m
kube-system    cilium-envoy-2vww9                                          1/1     Running   0               4h26m
kube-system    cilium-envoy-9hpnf                                          1/1     Running   0               4h26m
kube-system    cilium-envoy-t8j7m                                          1/1     Running   0               4h27m
kube-system    cilium-k5xhj                                                1/1     Running   0               151m
kube-system    cilium-operator-7b778b46f5-wgjkl                            1/1     Running   0               151m
kube-system    cilium-xr9zw                                                1/1     Running   0               151m
kube-system    coredns-6fc4bb75bf-dtpjx                                    1/1     Running   0               4h27m
kube-system    coredns-6fc4bb75bf-nzvdq                                    1/1     Running   0               4h27m
kube-system    hcloud-cloud-controller-manager-vb5jq                       1/1     Running   0               4h26m
kube-system    hcloud-csi-controller-f9d78dd9-dxc28                        5/5     Running   0               4h26m
kube-system    hcloud-csi-node-8kvxm                                       3/3     Running   0               4h26m
kube-system    hcloud-csi-node-ck8hm                                       3/3     Running   0               4h26m
kube-system    hcloud-csi-node-wfl66                                       3/3     Running   0               4h26m
kube-system    hubble-relay-5d7fbbddc-9sdh5                                1/1     Running   1 (151m ago)    152m
kube-system    hubble-ui-5478cfb8d-tjl9k                                   2/2     Running   0               152m
kube-system    kube-apiserver-ivp-cp-1                                     1/1     Running   0               4h27m
kube-system    kube-controller-manager-ivp-cp-1                            1/1     Running   2 (4h27m ago)   4h27m
kube-system    kube-scheduler-ivp-cp-1                                     1/1     Running   2 (4h27m ago)   4h27m
kube-system    metrics-server-75496bcb78-hjnqs                             1/1     Running   0               4h26m
kube-system    metrics-server-75496bcb78-jr28d                             1/1     Running   0               4h26m
kube-system    talos-cloud-controller-manager-vgdhp                        1/1     Running   0               4h26m
loki           loki-0                                                      1/1     Running   0               5m20s
monitoring     alertmanager-kube-prometheus-stack-alertmanager-0           2/2     Running   0               126m
monitoring     k8s-monitoring-alloy-events-55767cf67-zjsqb                 2/2     Running   0               124m
monitoring     k8s-monitoring-alloy-logs-q5rj4                             2/2     Running   0               124m
monitoring     k8s-monitoring-alloy-logs-r9qcm                             2/2     Running   0               124m
monitoring     k8s-monitoring-alloy-logs-xvmhf                             2/2     Running   0               124m
monitoring     k8s-monitoring-alloy-operator-7bd7b7cf88-8khdk              1/1     Running   0               124m
monitoring     kube-prometheus-stack-grafana-65b6cf8d6b-ndvk2              3/3     Running   0               126m
monitoring     kube-prometheus-stack-kube-state-metrics-64b5d4d7c5-wtqkj   1/1     Running   0               126m
monitoring     kube-prometheus-stack-operator-5bbb8cf6f6-hdj64             1/1     Running   0               126m
monitoring     kube-prometheus-stack-prometheus-node-exporter-5svhg        1/1     Running   0               126m
monitoring     kube-prometheus-stack-prometheus-node-exporter-64dzb        1/1     Running   0               126m
monitoring     kube-prometheus-stack-prometheus-node-exporter-mxwpz        1/1     Running   0               126m
monitoring     prometheus-kube-prometheus-stack-prometheus-0               2/2     Running   0               126m
